KOST_ID,FUNCTION,FR_STATUS,SOURCE_REFERENCE,FULL_TEXT_RECOVERABLE,CORRECT_ANSWER_RECOVERABLE,IMPORT_ELIGIBLE,BLOCKER
Q-7.1-001,7.1,FR SOURCE GAP CONFIRMED — DGR silent by design; Tier B/C basis retained,§1.0,YES,YES,NO,"status is FR SOURCE GAP CONFIRMED — DGR silent by design; Tier B/C basis retained, not FROZEN"
Q-7.1-002,7.1,FROZEN FR / SOURCE VERIFIED,"§2.1.1, §2.1.2",YES,YES,YES,
Q-7.1-003,7.1,FROZEN FR / SOURCE VERIFIED,"§3.0.1.1, §3.0.2",YES,YES,YES,
Q-7.1-004,7.1,FROZEN FR / SOURCE VERIFIED,§7.3.17,YES,YES,YES,
Q-7.1-005,7.1,FROZEN FR / SOURCE VERIFIED,"Table 4.2, UN 1978 Propane",NO,NO,NO,text/answer not safely recoverable
Q-7.1-006,7.1,FROZEN FR / SOURCE VERIFIED,"§3.8.3.3.1, Tableau 3.8.A",YES,YES,YES,
Q-7.1-007,7.1,FROZEN FR / SOURCE VERIFIED — final wording locked,§4.4,NO,NO,NO,text/answer not safely recoverable
Q-7.1-008,7.1,FROZEN FR / SOURCE VERIFIED — distractor corrected & revalidated,Tableau 2.6.A,NO,NO,NO,text/answer not safely recoverable
Q-7.1-009,7.1,FROZEN FR / SOURCE VERIFIED,"PI 965, Section IA/IB, Tables 965-IA/965-IB",YES,YES,YES,
Q-7.1-010,7.1,FROZEN FR / SOURCE VERIFIED,§7.1.4.1(d),NO,NO,NO,text/answer not safely recoverable
Q-7.1-011,7.1,FROZEN FR / SOURCE VERIFIED,§7.2.7.1,YES,YES,YES,
Q-7.1-012,7.1,FROZEN FR / SOURCE VERIFIED,"§1.3.4.1, §1.3.4.2",NO,NO,NO,text/answer not safely recoverable
Q-7.1-013,7.1,FROZEN FR / SOURCE VERIFIED,§1.0,YES,YES,YES,
Q-7.1-014,7.1,FROZEN FR / SOURCE VERIFIED,§1.1.1,YES,YES,YES,
Q-7.1-015,7.1,FROZEN FR / SOURCE VERIFIED,§1.2.1,YES,YES,YES,
Q-7.1-016,7.1,FROZEN FR / SOURCE VERIFIED,§2.2.4,YES,YES,YES,
Q-7.1-017,7.1,FROZEN FR / SOURCE VERIFIED,§2.3.0.1,YES,YES,YES,
Q-7.1-018,7.1,FROZEN FR / SOURCE VERIFIED,§3.0.2,YES,YES,YES,
Q-7.1-019,7.1,"FROZEN FR / SOURCE VERIFIED — wording corrected, stale KOST citation superseded",§7.1.3.2,YES,YES,YES,
Q-7.2-001,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
DGR 67th Ed. 2026, §1.1.1 (Partie 1, Bookshelf p.11): ""Le Sous-comité
d'experts en matière de transport des marchandises dangereuses du Conseil
économique et social des Nations Unies (UNSCETDG) élabore des procédures
recommandées pour le transport de toutes les marchandises dangereuses, à
l'exception des matières radioactives. Ces procédures applicables à tous
les modes de transport sont publiées..."" — confirms the correct answer;
§1.1.2/1.1.3/1.1.4 confirm the three distractors are wrongly scoped, exactly
as drafted. Current acronym is ""UNSCETDG""; align final wording (same body
as the KOST slide's ""SCoETDG""). Note: this underlying fact is shared
verbatim with Function 7.1's Block 0 (confirmed identical wording by Stage 1
cross-validation) — independently drafted here for Function 7.2's own bank,
not copied from `docs/DGR_PRODUCTION_BANK_7.1.md`.","§1.1.1, §1.1.2",YES,YES,YES,
Q-7.2-002,7.2,"FR SOURCE GAP CONFIRMED (Tier A re-checked 2026-08-25) —
identical finding to Function 7.1's `Q-7.1-001` (see
`docs/DGR_SOURCE_REGISTER.md`): the current DGR 67th Ed. Appendice A
Glossaire (p.703) and §1.0 Note (p.11) confirm the glossary excludes
ordinary/dictionary-sense terms by explicit policy, and no ""Danger""/""Risque""
headword exists anywhere in the current text. This is a DGR-wide fact, not
function-specific, so Q-7.1-001's Tier A research applies directly here —
not re-searched from scratch, cross-applied. Retain this item on its Tier B
(KOST course) basis; do not attribute the distinction to the DGR glossary in
final wording.",§1.0,YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-003,7.2,"PARTIALLY CONFIRMED — Tier A search performed 2026-08-25, no direct match
found. Current DGR §2.2 (Marchandises dangereuses cachées, p.12 area)
describes the detection *duty* (agents must be trained to identify DG under
generic descriptions, must query shippers/passengers when suspicious) but
does not itemize physical inspection cues such as ""variable centre of
gravity"" anywhere in the read text; a targeted search for ""centre de
gravité variable"" returned no book match (the only ""centre de gravité"" hits
found are unrelated drop-test procedure language in Part 6). This specific
physical-cue content reads as KOST practical-training synthesis layered on
top of the DGR's general detection duty, not a verbatim DGR provision —
retained Tier B, not asserted as DGR-sourced. Not re-classified as a formal
SOURCE GAP (the general duty it illustrates is real and Tier A-cited above)
but the item's specific correct-answer wording should not be attributed to
a DGR section number.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: general detection duty independently Tier A-confirmed via §2.2; the specific physical cue is Tier B-only, not located in current DGR text.",§2.2,YES,YES,NO,"status is PARTIAL, not FROZEN"
Q-7.2-004,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 for
the correct answer and all three distractor labels; the two secondary
examples in the correct-answer text are unconfirmed-but-not-contradicted —
flag for a follow-up spot-check before EN/reviewer sign-off).",§3.0.2,YES,YES,YES,
Q-7.2-005,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§7.2.2.2,YES,YES,YES,
Q-7.2-006,7.2,"PARTIALLY CONFIRMED — Tier A confirms the underlying duty (§9.1.1.1-2) but
not this item's specific itemized wording as a verbatim DGR quote; do not
cite a DGR section number for the itemized list itself in final wording
without a further, more exhaustive search (e.g. of Part 8/9.1.3's own
document-conformity checklist, which addresses already-declared shipments,
a related but distinct scenario).

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: underlying duty Tier A-confirmed via §9.1.1.1-2; the item's own itemized wording is not independently verified as verbatim DGR text.","§9.1.1.1, §9.1.1.1(b), §9.1.1.2, §2.2",YES,YES,NO,"status is PARTIAL, not FROZEN"
Q-7.2-007,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 —
mechanism via §9.1.1.2, term itself via §9.1.7's glossary-linked usage;
upgraded from the initial partial-confirmation recorded earlier this
session).","§9.1.1.2, §9.1.7",YES,YES,YES,
Q-7.2-008,7.2,"FR SOURCE GAP CONFIRMED — Tier A search performed 2026-08-25, no direct match
for this specific isolate/notify-supervisor procedure found in the current
DGR text read this pass (Part 9 §9.1.1/9.1.3 cover documentation-conformity
checks for already-declared shipments, not a step-by-step physical-suspect-
package escalation procedure). Reads as KOST operational SOP content, not a
verbatim DGR provision — retained Tier B, not asserted DGR-sourced.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: FR SOURCE GAP CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: a 2026-08-25 exhaustive Tier A search (Part 9 §9.1.1/§9.1.3) found no current-DGR anchor for any part of this item's claim — it reads as KOST operational SOP content, not a verbatim DGR provision.","§9.1.1, §9.1.3)",YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-009,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§9.6.2.1,YES,YES,YES,
Q-7.2-010,7.2,"FROZEN FR / SOURCE VERIFIED for the general reporting-duty
mechanism (§9.6.4/9.6.5, Tier A confirmed 2026-08-25); the ANAC-specific
identification remains correctly Tier B/administrative — not a DGR
provision, and cannot become one under any future DGR edition. Flag so a
future reviewer does not mistake the ANAC address for a DGR-numbered
requirement.","§9.6.4, §9.6.5, §9.6",YES,YES,YES,
Q-7.2-011,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"§9.6.1, §4.4",YES,YES,YES,
Q-7.2-012,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 16, with slide 15 read alongside for the contrasting definition. Loosely corroborated by Exam Q1 (""Quelle est",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-013,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§1.2.1,YES,YES,YES,
