KOST_Question_ID,Function,CBTA_Subtask,Current_Individual_FR_Status_Bucket,Current_Individual_FR_Status_Full_Text,Historical_Topic_Analysis_Conclusion,Bookshelf_Evidence_Found,DGR_Reference,Evidence_Location_File,Tested_Claim_Supported,Full_Text_Recoverable,Correct_Answer_Recoverable,Final_Reconciled_Status,Reason,Next_Action
Q-7.1-001,7.1,,GAP,FR SOURCE GAP CONFIRMED — DGR silent by design; Tier B/C basis retained,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.0,docs/DGR_STAGE_2B_STATUS.md,N/A (DGR confirmed silent / content not DGR-sourced),YES,YES,FR SOURCE GAP CONFIRMED — DGR silent by design; Tier B/C basis retained,"Tier A search performed and confirmed the tested content does not exist in current DGR text (or is KOST-authored operational content, not DGR text).","Do not import as Tier A DGR content. Retain only if pedagogically justified as Tier B/C, clearly labeled as such."
Q-7.1-002,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§2.1.1, §2.1.2",docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-003,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§3.0.1.1, §3.0.2",docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-004,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§7.3.17,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-005,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"Table 4.2, UN 1978 Propane",docs/DGR_STAGE_2B_STATUS.md,YES,NO,NO,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,FROZEN but full administered wording not safely recoverable — cannot import until recovered or re-authored from a safe source.
Q-7.1-006,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§3.8.3.3.1, Tableau 3.8.A",docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-007,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED — final wording locked,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§4.4,docs/DGR_STAGE_2B_STATUS.md,YES,NO,NO,FROZEN FR / SOURCE VERIFIED — final wording locked,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,FROZEN but full administered wording not safely recoverable — cannot import until recovered or re-authored from a safe source.
Q-7.1-008,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED — distractor corrected & revalidated,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,Tableau 2.6.A,docs/DGR_STAGE_2B_STATUS.md,YES,NO,NO,FROZEN FR / SOURCE VERIFIED — distractor corrected & revalidated,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,FROZEN but full administered wording not safely recoverable — cannot import until recovered or re-authored from a safe source.
Q-7.1-009,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"PI 965, Section IA/IB, Tables 965-IA/965-IB",docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-010,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§7.1.4.1(d),docs/DGR_STAGE_2B_STATUS.md,YES,NO,NO,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,FROZEN but full administered wording not safely recoverable — cannot import until recovered or re-authored from a safe source.
